PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PA,6056,IN,,Wind,Wind,4KEarth1658207029.91,21/6/23,,," 4,574 ",1,,21Jun2023
PA,6056,IN,,Wind,Wind,4KEarth1658207029.91,21/6/23,,," 36,353 ",2,,21Jun2023
PA,3575,IN,KEarth,Wind,Wind,4KEarth1658207602.68,15/6/23,2/2/12,31/12/12," 6,921 ",1,2,21Jun2023
PA,3575,IN,KEarth,Wind,Wind,4KEarth1658207602.68,15/6/23,1/1/13,1/9/20," 44,261 ",2,2,21Jun2023
PoA,9247,KR,KFQ,Solar,Solar PV,poaiss312095101~KR,14/6/23,27/12/19,31/12/20," 1,058 ",2,2,21Jun2023
PA,86,PE,AENOR,Hydro,Existing dam,AENOR1659515060.75,9/6/23,1/1/16,31/3/18," 81,973 ",2,8,21Jun2023
PA,1836,PE,AENOR,Hydro,Existing dam,AENOR1660030943.36,8/6/23,1/1/16,31/3/16," 5,622 ",2,4,21Jun2023
PA,1836,PE,AENOR,Hydro,Existing dam,AENOR1660031123.42,8/6/23,1/4/16,31/12/20," 87,918 ",2,5,21Jun2023
PA,6191,CN,LGAI,Biomass Energy,Forest residues: other,Applus1662714593.58,8/6/23,1/1/13,30/9/19," 553,027 ",2,1,21Jun2023
PA,1566,IN,EPIC,Hydro,Existing dam,EPIC_Sust1645628286.23,8/6/23,24/12/11,31/12/12," 4,581 ",1,2,21Jun2023
PA,1566,IN,EPIC,Hydro,Existing dam,EPIC_Sust1645628286.23,8/6/23,1/1/13,2/6/19," 23,770 ",2,2,21Jun2023
PA,10190,IN,RINA,EE own generation,Iron & steel heat,RINA1659474544.03,8/6/23,1/7/16,30/9/19," 114,437 ",2,1,21Jun2023
PA,1520,IN,LGAI,Methane avoidance,Manure,Applus1663667091.15,2/6/23,1/5/14,6/4/18," 71,430 ",2,6,21Jun2023
PA,7110,BR,Earthood,Landfill gas,Landfill power,ESPL1616498229.04,2/6/23,1/1/16,3/9/19," 391,508 ",2,2,21Jun2023
PA,6041,BR,Earthood,Hydro,Run of river,ESPL1670929970.85,2/6/23,1/1/13,21/10/19," 555,126 ",2,1,21Jun2023
PA,6041,BR,Earthood,Hydro,Run of river,ESPL1670929970.85,2/6/23,22/10/12,31/12/12," 8,260 ",1,1,21Jun2023
PA,4487,IN,KEarth,Wind,Wind,4KEarth1662462459.01,1/6/23,8/3/16,31/12/20," 89,733 ",2,2,21Jun2023
PA,3936,CN,CCSC,Wind,Wind,CCSC_DOE1634634273.94,30/5/23,18/12/17,31/12/20," 208,270 ",2,2,21Jun2023
PA,5251,KR,KFQ,Solar,Solar PV,KFQ1650527266.85,30/5/23,22/12/18,31/12/20," 3,409 ",2,3,21Jun2023
PA,6848,CL,LGAI,Hydro,Run of river,Applus1654182155.66,25/5/23,30/7/13,17/3/19," 1,541,464 ",2,2,21Jun2023
PA,3298,IN,Earthood,Wind,Wind,ESPL1623739940.86,25/5/23,18/2/18,3/12/20," 92,977 ",2,3,21Jun2023
PA,9893,BR,Earthood,Hydro,Run of river,ESPL1652781246.28,25/5/23,9/7/14,31/12/20," 280,719 ",2,1,21Jun2023
PA,2533,CN,TUV SUD,Hydro,Run of river,TUEV-SUED1637577345.93,25/5/23,13/10/17,31/12/20," 49,562 ",2,5,21Jun2023
PA,530,BR,KBS,Hydro,Run of river,KBS_Cert1649826899.1,23/5/23,1/1/14,31/8/16," 249,459 ",2,7,21Jun2023
PA,10163,IN,LGAI,Wind,Wind,Applus1627457279.32,19/5/23,22/7/15,31/12/20," 338,119 ",2,1,21Jun2023
PA,4463,IN,KBS,Transport,Mode shift: road to rail,KBS_Cert1650867416.83,19/5/23,30/6/18,31/12/20," 350,342 ",2,5,21Jun2023
PoA,5962,MW,LGAI,EE service,Water purification,poaiss899334797~MW,18/5/23,1/1/20,31/12/20," 87,106 ",2,7,21Jun2023
PA,5310,VN,KEarth,Hydro,Run of river,4KEarth1659697313.19,18/5/23,1/7/19,31/12/20," 87,461 ",2,8,21Jun2023
PA,3022,IN,LGAI,Hydro,Run of river,Applus1632763994.59,11/5/23,1/1/14,14/11/17," 97,100 ",2,3,21Jun2023
