CDM project reference number,HostParty,Issuance process ID,Issuance date,Status,Total,Vintage Year
6056,IN,4KEarth1658207029.91,21/6/23,Held," 4,574 ",NaT
6056,IN,4KEarth1658207029.91,21/6/23,Held," 36,353 ",NaT
3575,IN,4KEarth1658207602.68,15/6/23,Held," 6,921 ",2012
3575,IN,4KEarth1658207602.68,15/6/23,Held," 44,261 ",2013
9247,KR,poaiss312095101~KR,14/6/23,Held," 1,058 ",2019
86,PE,AENOR1659515060.75,9/6/23,Held," 81,973 ",2016
1836,PE,AENOR1660030943.36,8/6/23,Held," 5,622 ",2016
1836,PE,AENOR1660031123.42,8/6/23,Held," 87,918 ",2016
6191,CN,Applus1662714593.58,8/6/23,Held," 553,027 ",2013
1566,IN,EPIC_Sust1645628286.23,8/6/23,Held," 4,581 ",2011
1566,IN,EPIC_Sust1645628286.23,8/6/23,Held," 23,770 ",2013
10190,IN,RINA1659474544.03,8/6/23,Held," 114,437 ",2016
1520,IN,Applus1663667091.15,2/6/23,Held," 71,430 ",2014
7110,BR,ESPL1616498229.04,2/6/23,Held," 391,508 ",2016
6041,BR,ESPL1670929970.85,2/6/23,Held," 555,126 ",2013
6041,BR,ESPL1670929970.85,2/6/23,Held," 8,260 ",2012
4487,IN,4KEarth1662462459.01,1/6/23,Held," 89,733 ",2016
3936,CN,CCSC_DOE1634634273.94,30/5/23,Held," 208,270 ",2017
5251,KR,KFQ1650527266.85,30/5/23,Held," 3,409 ",2018
6848,CL,Applus1654182155.66,25/5/23,Held," 1,541,464 ",2013
3298,IN,ESPL1623739940.86,25/5/23,Held," 92,977 ",2018
9893,BR,ESPL1652781246.28,25/5/23,Held," 280,719 ",2014
2533,CN,TUEV-SUED1637577345.93,25/5/23,Held," 49,562 ",2017
530,BR,KBS_Cert1649826899.1,23/5/23,Held," 249,459 ",2014
10163,IN,Applus1627457279.32,19/5/23,Held," 338,119 ",2015
4463,IN,KBS_Cert1650867416.83,19/5/23,Held," 350,342 ",2018
5962,MW,poaiss899334797~MW,18/5/23,Held," 87,106 ",2020
5310,VN,4KEarth1659697313.19,18/5/23,Held," 87,461 ",2019
3022,IN,Applus1632763994.59,11/5/23,Held," 97,100 ",2014
7782,CN,Applus1646852568.03,11/5/23,Held," 322,328 ",2013
6231,IN,Applus1660928819.71,11/5/23,Held," 123,519 ",2014
2392,CN,Applus1669920732.41,11/5/23,Held," 60,735 ",2013
6544,CN,CTI1659587929.93,11/5/23,Held," 231,508 ",2013
9702,IN,RINA1648213997.09,11/5/23,Held," 24,418 ",2013
9247,KR,poaiss781697042~KR,5/5/23,Held," 9,937 ",2019
1280,IN,Applus1623948558.35,4/5/23,Held," 19,054 ",2019
7647,IN,Applus1638474196.15,4/5/23,Held," 672,812 ",2015
7442,IN,Applus1640001812.09,4/5/23,Held," 95,519 ",2018
6553,BR,KBS_Cert1667800630.95,1/5/23,Held," 766,503 ",2013
9604,IN,Applus1637342076.59,27/4/23,Held," 114,348 ",2013
9605,IN,Applus1637342155.87,27/4/23,Held," 115,632 ",2013
5311,CN,CCSC_DOE1631070332.18,27/4/23,Held," 176,450 ",2016
5311,CN,CCSC_DOE1631166266.17,27/4/23,Held," 182,820 ",2018
7017,BR,ESPL1666004107.09,27/4/23,Held," 329,700 ",2013
7021,BR,ESPL1666004229.86,27/4/23,Held," 378,020 ",2013
7026,BR,ESPL1666004408.79,27/4/23,Held," 273,653 ",2013
7023,BR,ESPL1666198354.93,27/4/23,Held," 310,683 ",2013
2417,CL,KBS_Cert1653019510.57,27/4/23,Held," 192,082 ",2014
9822,AR,AENOR1637594996.96,25/4/23,Held," 362,778 ",2016
8179,CN,CTI1657247744.91,25/4/23,Held," 512,554 ",2013
7853,CN,CTI1661771731.11,25/4/23,Held," 514,997 ",2018
751,LK,KBS_Cert1635225375.64,25/4/23,Held," 30,960 ",2013
751,LK,KBS_Cert1635225375.64,25/4/23,Held," 8,891 ",2011
8438,GH,poaiss188546015~GH,20/4/23,Held," 139,312 ",2019
8438,GH,poaiss663500060~GH,20/4/23,Held," 202,210 ",2018
8438,GH,poaiss274024577~GH,20/4/23,Held," 38,334 ",2020
1047,IN,4KEarth1648863914.34,20/4/23,Held," 66,817 ",2013
1047,IN,4KEarth1648863914.34,20/4/23,Held," 3,250 ",2012
9410,IN,4KEarth1649656567.54,20/4/23,Held," 44,315 ",2013
6896,IN,Applus1649101054.62,20/4/23,Held," 117,958 ",2013
6896,IN,Applus1649101054.62,20/4/23,Held, 314 ,2012
8337,CL,Applus1651917532.1,20/4/23,Held," 97,571 ",2013
1906,CN,CTI1548732930.56,20/4/23,Held," 152,134 ",2018
3854,IN,ESPL1663331694.6,20/4/23,Held," 61,195 ",2017
122,CO,ICONTEC1667578124.18,20/4/23,Held," 19,068 ",2018
10236,CO,ICONTEC1652905018.84,19/4/23,Held," 1,181,978 ",2019
7853,CN,CTI1661771579.07,17/4/23,Held," 190,996 ",2016
5828,CN,CTI1661773642.6,17/4/23,Held," 224,181 ",2016
5828,CN,CTI1661773691.53,17/4/23,Held," 435,111 ",2018
10512,BD,poaiss804179934~BD,13/4/23,Held," 281,183 ",2020
8261,IN,poaiss779165361~IN,13/4/23,Held," 284,279 ",2013
10098,IN,Applus1642423596.42,13/4/23,Held," 50,466 ",2015
9508,IN,Applus1642423615.5,13/4/23,Held, 7 ,2012
9508,IN,Applus1642423615.5,13/4/23,Held," 35,157 ",2013
6621,IN,ESPL1663071750.26,13/4/23,Held," 42,403 ",2013
4449,CL,KBS_Cert1660212975.89,13/4/23,Held," 327,657 ",2013
4449,CL,KBS_Cert1660213116.31,13/4/23,Held," 36,927 ",2018
5726,CL,KBS_Cert1660024752.42,11/4/23,Held," 189,448 ",2013
3797,CN,Applus1654080342.92,6/4/23,Held," 707,684 ",2013
3797,CN,Applus1654080342.92,6/4/23,Held," 280,165 ",2010
751,LK,KBS_Cert1634899937.15,6/4/23,Held," 9,633 ",2009
8371,IN,KBS_Cert1652005226.46,6/4/23,Held," 109,181 ",2014
3246,KR,Korean Standards Association1668439116.43,6/4/23,Held," 157,404 ",2013
7357,MX,KBS_Cert1661158643.5,4/4/23,Held," 489,043 ",2014
9247,KR,poaiss907403542~KR,30/3/23,Held," 1,910 ",2019
3532,VN,4KEarth1643367938.24,30/3/23,Held," 53,435 ",2016
1300,IN,Applus1650285993.12,30/3/23,Held," 27,499 ",2013
1300,IN,Applus1650285993.12,30/3/23,Held," 90,895 ",2011
7589,IN,Applus1651315448.81,30/3/23,Held," 14,471 ",2015
536,CN,Applus1665509416.66,30/3/23,Held," 224,633 ",2015
1244,CN,Applus1666030083.88,30/3/23,Held," 125,363 ",2017
1570,AR,ESPL1643110636.5,30/3/23,Held," 50,567 ",2014
1570,AR,ESPL1643113550.97,30/3/23,Held," 162,045 ",2016
9165,KR,Korean Standards Association1667958678.4,30/3/23,Held," 209,664 ",2013
9165,KR,Korean Standards Association1667958678.4,30/3/23,Held, 586 ,2012
7441,IN,RINA1661939197.22,30/3/23,Held," 101,625 ",2013
373,BR,KBS_Cert1646290674.89,28/3/23,Held," 86,659 ",2012
373,BR,KBS_Cert1646290674.89,28/3/23,Held," 180,713 ",2013
10168,IN,Applus1614342350.23,23/3/23,Held," 15,068 ",2016
7901,IN,Applus1645785776.44,23/3/23,Held," 5,216 ",2012
7901,IN,Applus1645785776.44,23/3/23,Held," 1,204,274 ",2013
4251,IN,Applus1649354129.25,23/3/23,Held," 16,576 ",2011
4251,IN,Applus1649354129.25,23/3/23,Held," 63,293 ",2013
4537,VN,BVQI1647502727.99,23/3/23,Held," 1,371,906 ",2018
8074,CN,CCCI_DOE1664619747.59,23/3/23,Held," 755,857 ",2018
4330,CN,CTI1632894204.65,23/3/23,Held," 41,511 ",2018
6758,CN,CTI1656570893.86,23/3/23,Held," 566,039 ",2018
3248,IN,CarbonCheck_Cert1603446900.55,23/3/23,Held," 49,533 ",2020
