HostParty,CDM project reference number,Issuance process ID,Monitoring report started,Monitoring report ended
IN,6056,4KEarth1658207029.91,,
IN,6056,4KEarth1658207029.91,,
IN,3575,4KEarth1658207602.68,2012-02-02,2012-12-31
IN,3575,4KEarth1658207602.68,2013-01-01,2020-01-09
KR,9247,poaiss312095101~KR,2019-12-27,2020-12-31
PE,86,AENOR1659515060.75,2016-01-01,2018-03-31
PE,1836,AENOR1660030943.36,2016-01-01,2016-03-31
PE,1836,AENOR1660031123.42,2016-01-04,2020-12-31
CN,6191,Applus1662714593.58,2013-01-01,2019-09-30
IN,1566,EPIC_Sust1645628286.23,2011-12-24,2012-12-31
IN,1566,EPIC_Sust1645628286.23,2013-01-01,2019-02-06
IN,10190,RINA1659474544.03,2016-01-07,2019-09-30
IN,1520,Applus1663667091.15,2014-01-05,2018-06-04
BR,7110,ESPL1616498229.04,2016-01-01,2019-03-09
BR,6041,ESPL1670929970.85,2013-01-01,2019-10-21
BR,6041,ESPL1670929970.85,2012-10-22,2012-12-31
IN,4487,4KEarth1662462459.01,2016-08-03,2020-12-31
CN,3936,CCSC_DOE1634634273.94,2017-12-18,2020-12-31
KR,5251,KFQ1650527266.85,2018-12-22,2020-12-31
CL,6848,Applus1654182155.66,2013-07-30,2019-03-17
IN,3298,ESPL1623739940.86,2018-02-18,2020-03-12
BR,9893,ESPL1652781246.28,2014-09-07,2020-12-31
CN,2533,TUEV-SUED1637577345.93,2017-10-13,2020-12-31
BR,530,KBS_Cert1649826899.1,2014-01-01,2016-08-31
IN,10163,Applus1627457279.32,2015-07-22,2020-12-31
IN,4463,KBS_Cert1650867416.83,2018-06-30,2020-12-31
MW,5962,poaiss899334797~MW,2020-01-01,2020-12-31
VN,5310,4KEarth1659697313.19,2019-01-07,2020-12-31
IN,3022,Applus1632763994.59,2014-01-01,2017-11-14
CN,7782,Applus1646852568.03,2013-01-01,2019-12-31
IN,6231,Applus1660928819.71,2014-01-04,2019-06-30
CN,2392,Applus1669920732.41,2013-01-01,2013-12-31
CN,6544,CTI1659587929.93,2013-01-01,2019-09-08
IN,9702,RINA1648213997.09,2013-01-08,2020-12-31
KR,9247,poaiss781697042~KR,2019-01-01,2020-12-31
IN,1280,Applus1623948558.35,2019-01-04,2020-12-31
IN,7647,Applus1638474196.15,2015-12-16,2020-12-31
IN,7442,Applus1640001812.09,2018-01-07,2020-12-28
BR,6553,KBS_Cert1667800630.95,2013-01-01,2019-07-17
IN,9604,Applus1637342076.59,2013-05-04,2020-04-04
IN,9605,Applus1637342155.87,2013-05-04,2020-04-04
CN,5311,CCSC_DOE1631070332.18,2016-12-21,2018-07-11
CN,5311,CCSC_DOE1631166266.17,2018-08-11,2020-12-20
BR,7017,ESPL1666004107.09,2013-01-11,2020-10-31
BR,7021,ESPL1666004229.86,2013-01-11,2020-10-31
BR,7026,ESPL1666004408.79,2013-01-11,2020-10-31
BR,7023,ESPL1666198354.93,2013-01-11,2020-10-31
CL,2417,KBS_Cert1653019510.57,2014-01-07,2016-03-08
AR,9822,AENOR1637594996.96,2016-04-14,2020-12-31
CN,8179,CTI1657247744.91,2013-01-01,2019-12-31
CN,7853,CTI1661771731.11,2018-01-01,2020-12-31
LK,751,KBS_Cert1635225375.64,2013-01-01,2017-12-31
LK,751,KBS_Cert1635225375.64,2011-01-01,2012-12-31
GH,8438,poaiss188546015~GH,2019-01-07,2020-06-30
GH,8438,poaiss663500060~GH,2018-01-07,2019-06-30
GH,8438,poaiss274024577~GH,2020-01-07,2020-12-31
IN,1047,4KEarth1648863914.34,2013-01-01,2017-01-29
IN,1047,4KEarth1648863914.34,2012-10-29,2012-12-31
IN,9410,4KEarth1649656567.54,2013-01-01,2019-12-30
IN,6896,Applus1649101054.62,2013-01-01,2019-12-31
IN,6896,Applus1649101054.62,2012-10-31,2012-12-31
