CDM project reference number,Completion Date,Status,Total,HostParty,Issuance process ID,tots
1,2023-08-31,Cancelled,640464,IN,COMBINEDCANCELLED-1,8293057
8,2022-04-07,Cancelled,40080,BR,COMBINEDCANCELLED-8,83613344
11,2013-10-01,Cancelled,59949,CN,COMBINEDCANCELLED-11,204959809
33,2023-03-31,Cancelled,118293,CL,COMBINEDCANCELLED-33,118292
52,2023-08-25,Cancelled,4366403,BR,COMBINEDCANCELLED-52,93473135
73,2022-09-28,Cancelled,123634,GT,COMBINEDCANCELLED-73,140012
85,2019-05-09,Cancelled,248991,LK,COMBINEDCANCELLED-85,254765
86,2020-02-07,Cancelled,98340,PE,COMBINEDCANCELLED-86,1719170
99,2016-06-24,Cancelled,400000,KR,COMBINEDCANCELLED-99,399999
107,2023-05-12,Cancelled,360138,MX,COMBINEDCANCELLED-107,5579347
115,2022-04-26,Cancelled,547000,IN,COMBINEDCANCELLED-115,546999
116,2016-12-15,Cancelled,401687,BR,COMBINEDCANCELLED-116,401686
122,2019-02-11,Cancelled,43548,CO,COMBINEDCANCELLED-122,43547
136,2018-01-12,Cancelled,4842,NP,COMBINEDCANCELLED-136,897173
139,2018-01-12,Cancelled,5066,NP,COMBINEDCANCELLED-139,826895
143,2014-10-31,Cancelled,25000,BR,COMBINEDCANCELLED-143,24999
159,2018-03-27,Cancelled,1508,MD,COMBINEDCANCELLED-159,42443
160,2018-03-27,Cancelled,1259,MD,COMBINEDCANCELLED-160,58603
164,2023-06-20,Cancelled,245850,BR,COMBINEDCANCELLED-164,41974297
165,2023-07-12,Cancelled,482484,BR,COMBINEDCANCELLED-165,1170387
171,2023-05-17,Cancelled,20004,BR,COMBINEDCANCELLED-171,57583881
173,2018-03-27,Cancelled,1579,MD,COMBINEDCANCELLED-173,91198
176,2021-12-14,Cancelled,198240,CN,COMBINEDCANCELLED-176,198239
186,2019-02-28,Cancelled,27808,IN,COMBINEDCANCELLED-186,27807
191,2015-11-17,Cancelled,294290,NI,COMBINEDCANCELLED-191,993592
193,2023-06-09,Cancelled,60000,CN,COMBINEDCANCELLED-193,59999
194,2020-06-04,Cancelled,8274,CO,COMBINEDCANCELLED-194,7815951
198,2022-12-21,Cancelled,356575,NI,COMBINEDCANCELLED-198,625949
209,2016-12-08,Cancelled,22175,BR,COMBINEDCANCELLED-209,22174
222,2023-05-18,Cancelled,123128,KR,COMBINEDCANCELLED-222,137938017
229,2023-03-06,Cancelled,65664,BR,COMBINEDCANCELLED-229,25177220
233,2016-09-06,Cancelled,130276,CN,COMBINEDCANCELLED-233,158065302
239,2022-12-12,Cancelled,5000,JM,COMBINEDCANCELLED-239,4999
242,2021-10-08,Cancelled,144472,BR,COMBINEDCANCELLED-242,66354981
243,2019-07-02,Cancelled,23594,IN,COMBINEDCANCELLED-243,23593
244,2021-10-05,Cancelled,66266,IN,COMBINEDCANCELLED-244,72854581
251,2019-10-02,Cancelled,2709,CR,COMBINEDCANCELLED-251,1213311
258,2023-04-25,Cancelled,642252,CL,COMBINEDCANCELLED-258,14206846
259,2021-08-03,Cancelled,246272,CL,COMBINEDCANCELLED-259,7016718
264,2020-08-19,Cancelled,77864,IN,COMBINEDCANCELLED-264,21566328
267,2023-08-22,Cancelled,23586,IN,COMBINEDCANCELLED-267,187509539
268,2023-06-06,Cancelled,774286,BR,COMBINEDCANCELLED-268,65656342
275,2018-12-13,Cancelled,98152,CO,COMBINEDCANCELLED-275,10747667
297,2023-08-31,Cancelled,831341,SV,COMBINEDCANCELLED-297,895895
306,2013-10-01,Cancelled,22794,CN,COMBINEDCANCELLED-306,193098961
310,2020-03-18,Cancelled,22000,IN,COMBINEDCANCELLED-310,21999
312,2022-10-04,Cancelled,124933,IN,COMBINEDCANCELLED-312,89187369
315,2022-02-08,Cancelled,274129,IN,COMBINEDCANCELLED-315,274128
327,2021-11-02,Cancelled,64013,IN,COMBINEDCANCELLED-327,44169183
328,2023-04-26,Cancelled,57636,IN,COMBINEDCANCELLED-328,63127554
329,2023-06-05,Cancelled,82538,IN,COMBINEDCANCELLED-329,63344994
331,2019-03-12,Cancelled,84294,IN,COMBINEDCANCELLED-331,36991460
346,2023-03-21,Cancelled,307377,CL,COMBINEDCANCELLED-346,9957313
347,2016-03-22,Cancelled,34605,IN,COMBINEDCANCELLED-347,22529274
349,2021-07-26,Cancelled,2221518,KR,COMBINEDCANCELLED-349,63100871
362,2017-10-16,Cancelled,1000,IN,COMBINEDCANCELLED-362,999
363,2022-12-16,Cancelled,34422,KH,COMBINEDCANCELLED-363,34421
370,2021-12-07,Cancelled,3940,IN,COMBINEDCANCELLED-370,3939
373,2023-08-22,Cancelled,245474,BR,COMBINEDCANCELLED-373,144879370
376,2023-06-27,Cancelled,8710,IN,COMBINEDCANCELLED-376,78298
390,2016-03-22,Cancelled,27666,IN,COMBINEDCANCELLED-390,27665
